#ID,M1,M2,M3,M4,M5,M6,M7,M8
gene-Serpinb9b,8.341404,10.534978,11.208125,12.277329,18.463902,20.492432,66.790199,4.57521
gene-Dph7,8.962855,8.103508,9.163381,7.051696,7.251076,9.628981,8.281271,6.062437
gene-Dph6,8.931111,7.039018,7.795055,7.197863,8.320338,7.260863,4.040886,3.78966
gene-Dph1,6.399504,5.956418,6.996388,7.283034,8.007644,7.391078,3.954808,4.621064
gene-Dph3,7.034654,6.417897,7.57626,7.867363,9.556937,8.240545,8.626971,5.792931
NewGene_7817,0.050599,0.720431,0.169386,0,0,0,0,0
gene-Irak1bp1,8.877581,5.201329,7.132949,6.650396,6.694662,7.711771,2.079212,0.617662
gene-Slc38a8,0,0,0,0,0,0,0,0
gene-Abra,0.054048,0,0,0,0,0,0,0
gene-Bex2,0,0,0,0.048627,0,0,0,0
gene-Palm3,0,0.014566,0,0,0.019779,0,0,0.047039
gene-Ptges3l,1.963653,1.293999,3.233694,2.771669,2.377186,2.192391,4.110233,3.408935
gene-Slc38a5,0,0,0,0,0,0,0,0
gene-Slc38a2,82.046495,79.197891,69.816393,83.04863,64.498028,60.896959,109.80589,68.23262
gene-Gm42427,0,0.005961,0.017926,0,0,0.005866,0,0
NewGene_4350,0.756423,0,0.359075,0.106832,0.048501,0.342926,0,0.259096
gene-Plch1,0,0.056289,0.063458,0.055002,0.05146,0.023895,0.004927,0.004826
gene-Pglyrp2,0.101419,0.67732,0.381763,0.103802,1.783197,1.920228,0.226736,0.528269
gene-Pglyrp3,0,0,0,0,0,0,0,0
gene-Pglyrp4,0,0,0,0,0,0,0.113245,0
gene-Sh3glb2,20.894766,22.603223,19.552409,24.431277,20.772027,19.072621,14.898348,20.651899
gene-Sh3glb1,50.246786,49.720212,48.000512,53.373209,50.9925,51.648045,42.825767,34.32087
gene-Plch2,0,0.017696,0.007679,0.025689,0,0.007419,0,0
gene-Crnn,1.230139,0.940127,0.759431,1.235984,0.447289,0.307905,0,0
gene-Gm3371,0,0,0,0,0,0,0,0
